Issue ID,Summary,Issue Type,Description,Priority,Epic Name,Epic Link,Labels
E1,"Epic — Live Performance Planning",Epic,"Goal: Help artists book venues, budget tours, and pay musicians fairly. Includes TourPlanner UI, budget breakdowns, and AFM-aligned pay.",Highest,"Live Performance Planning",,"epic,live,planning"
E1.1,"Polish TourPlanner 3-tab workflow",Story,"Refine Overview/Budget/Routing tabs; ensure state persists and flows are intuitive.",High,,E1,"live,ui,P2"
E1.2,"Show musician pay breakdown per show",Story,"Display AFM day-rate assumptions, splits, and per-member pay in Budget tab.",Highest,,E1,"live,fair-pay,P1"
E1.3,"Export tour budget to CSV",Story,"One-click export of selected shows, revenues, expenses, and net profit to CSV.",High,,E1,"export,budget,P2"
E1.4,"Add notes per show (guarantee/door)",Story,"Let users annotate offer terms and settlement notes for each venue.",Medium,,E1,"live,usability,P3"
E2,"Epic — Venue Database & Mid‑Market Expansion",Epic,"Goal: Strengthen data with Cincinnati focus and regional corridors; improve quality flags.",Highest,"Venue DB & Mid‑Market",,"epic,venues,data"
E2.1,"Complete Cincinnati ecosystem",Story,"Ensure key venues, DIY spaces, and contact notes are present; add neighborhoods.",Highest,,E2,"venues,cincinnati,P1"
E2.2,"Validate corridor distances & drive times",Story,"Spot-check distance estimates and adjust corridor defaults by region.",High,,E2,"routing,data,P2"
E2.3,"Add venue data quality flags",Story,"Mark entries with last-updated, source, and insider-notes availability.",Medium,,E2,"data,quality,P3"
E3,"Epic — Routing Intelligence",Epic,"Goal: Provide sensible itineraries with total miles and recommendations; optional real routing API.",High,"Routing Intelligence",,"epic,routing"
E3.1,"Daily miles and rest constraints",Story,"Let users set max daily miles and rest-day cadence; reflect in suggestions.",High,,E3,"routing,ux,P2"
E3.2,"Integrate OSRM/Mapbox (optional)",Story,"If enabled, fetch real distances and durations; fallback to estimates.",Medium,,E3,"routing,api,P3"
E3.3,"Show routing summary in Budget tab",Story,"Inline summary of total miles, fuel cost impact, and suggested order.",Highest,,E3,"routing,budget,P1"
E4,"Epic — Smart Tour Builder",Epic,"Goal: One-click generation of tour + band based on stage, draw, genre, and routing.",Highest,"Smart Tour Builder",,"epic,smart-tour"
E4.1,"Tune genre→band config rules",Story,"Improve defaults for drummer/MD/Tracks by genre; expose overrides.",High,,E4,"smart-tour,band,P2"
E4.2,"Low-draw safety guardrails",Story,"When estimated draw is low, limit venue size and push local-first routing.",Highest,,E4,"smart-tour,ux,P1"
E4.3,"Undo/regenerate UX",Story,"Add quick 'Regenerate' and 'Undo' for generated tours.",Medium,,E4,"smart-tour,ui,P3"
E4.4,"Unit tests for generateSmartTour",Story,"Cover happy path + edge cases; verify band config & venue selection.",High,,E4,"tests,smart-tour,P2"
E5,"Epic — Master Plan ROI Dashboard",Epic,"Goal: Connect production, release, tour, and streaming into a single ROI view.",Highest,"Master Plan ROI",,"epic,roi,dashboard"
E5.1,"Validate budget math across phases",Story,"Ensure qty×unitCost everywhere; reconcile with ProjectConfig units.",Highest,,E5,"roi,budget,P1"
E5.2,"Calibrate streaming projections",Story,"Tune streams→revenue assumptions by stage and engagement.",High,,E5,"roi,streaming,P2"
E5.3,"Export ROI report (PDF/CSV)",Story,"Export summary metrics and recommendations for stakeholders.",Medium,,E5,"roi,export,P3"
E6,"Epic — Grants & Funding",Epic,"Goal: Help artists discover grants and track applications.",High,"Grants & Funding",,"epic,grants"
E6.1,"Improve grant discovery filters",Story,"Add geography, genre, deadline filters; highlight near-term opportunities.",High,,E6,"grants,discovery,P2"
E6.2,"Application tracker statuses",Story,"Kanban states (Planned/In Progress/Submitted/Won/Lost) with notes.",Highest,,E6,"grants,tracker,P1"
E6.3,"Export grant plan to CSV",Story,"Export filtered grants and application plans for team review.",Medium,,E6,"grants,export,P3"
E7,"Epic — Mobile UX & Accessibility",Epic,"Goal: Ensure buttons and touch interactions work on mobile.",Highest,"Mobile UX & A11y",,"epic,mobile,a11y"
E7.1,"Fix non‑workable mobile buttons (bug)",Story,"Investigate and fix reported mobile/touch issues (tab buttons, toggles).",Highest,,E7,"bug,mobile,P1"
E7.2,"Improve tap targets & spacing",Story,"Increase touch areas; verify one‑hand usability.",High,,E7,"mobile,ux,P2"
E7.3,"Keyboard focus & ARIA",Story,"Ensure focus outlines, roles, and labels across main flows.",Medium,,E7,"a11y,ux,P3"
E8,"Epic — Integrations & Auth",Epic,"Goal: Keep prod/public builds sign‑in free; document GitHub↔Jira linking.",High,"Integrations & Auth",,"epic,integrations,auth"
E8.1,"Document GitHub↔Jira linking",Story,"Write commit/PR conventions and install guide for Marketplace app.",High,,E8,"integrations,jira,P2"
E8.2,"Assert prod auth stays disabled",Story,"Add a simple check/test ensuring auth gates remain off on public hosts.",Highest,,E8,"auth,tests,P1"
E8.3,"Release notes & versioning",Story,"Automate CHANGELOG and release summary generation.",Medium,,E8,"release,docs,P3"
E9,"Epic — Data & Benchmarking",Epic,"Goal: Keep industry benchmarks and AFM rates fresh; add schema versioning.",Medium,"Data & Benchmarks",,"epic,data,benchmarks"
E9.1,"Update industry benchmarks data",Story,"Refresh streaming and venue economics with 2025 figures.",Medium,,E9,"data,benchmarks,P3"
E9.2,"AFM rate update mechanism",Story,"Externalize AFM rates with effective‑date and locality support.",High,,E9,"data,afm,P2"
E9.3,"localStorage schema version + migration",Story,"Add v2 schema and migrate saved state safely.",High,,E9,"storage,migrations,P2"
E10,"Epic — Platform & Tooling",Epic,"Goal: Improve tests, CI, and developer tooling.",High,"Platform & Tooling",,"epic,platform,tooling"
E10.1,"Stabilize unit test suite",Story,"Fix flaky tests; add coverage for tour planning core libs.",High,,E10,"tests,stability,P2"
E10.2,"CI for build/lint/test",Story,"Add GitHub Actions to run build, typecheck, and tests on PRs.",Highest,,E10,"ci,quality,P1"
E10.3,"Backlog import artifacts",Story,"Jira CSV + GitHub issues script with docs (this work item).",High,,E10,"process,backlog,P2"
